,OPIS Truckstop ID,Address,Truckstop Name,City,State,Rack ID,Retail Price,lat_truck,lon_truck,lat_city,lon_city
749,5935,I-295 EXIT 47A,WESTHAMPTON VALERO,Mount Holly                             ,NJ,160,3.329,39.9931438,-74.78793929999999,39.9931438,-74.78793929999999
750,5942,"I-55, EXIT 185 & US-67/US-61",EXPRESS MART TRUCK STOP,Barnhart,MO,540,2.99733333,38.3437139,-90.3893928,38.344221,-90.3934532
751,5944,"I-94, EXIT 259 & SR- 89/CR-G",LAKE MILLS TRAVEL PLAZA,Lake Mills,WI,420,3.36066666,43.0813888,-88.91177420000001,43.0813888,-88.91177420000001
752,5946,I-90 EXIT 55,PILOT TRAVEL CENTERS #918,Rapid City,SD,506,3.999,44.1126495,-103.27329,44.0805434,-103.2310149
753,5949,US-59 & LOOP 151,EXXON,Texarkana                               ,TX,723,3.16566666,33.425125,-94.04768820000001,33.425125,-94.04768820000001
754,5951,I-64 EXIT 41,ROAD RANGER #157,Okawville,IL,540,3.799,38.43646390000001,-89.5346232,38.4342163,-89.5503676
755,5963,"I-10, EXIT 372",OZONA ONE STOP,Ozona                                   ,TX,710,2.98233333,30.720407,-101.2032026,30.70222489999999,-101.2013819
756,5965,I-29 EXIT 47 & SR-46,TRUCK TOWNE,Beresford                               ,SD,572,3.159,43.0841472,-96.8025109,43.0805446,-96.77365499999999
757,5971,SR-19,WACO TRAVEL CENTER,Perry,FL,20,3.699,30.0864444,-83.5717253,30.1115662,-83.58210629999999
758,5979,"I-10 & SR-182, EXIT 101",TA LAFAYETTE TRAVEL CENTER,Lafayette,LA,600,3.134,30.2520818,-92.0381321,30.2240897,-92.0198427
759,5980,"I-85/US-460, EXIT 63A & US-1/US-460 BUS",THRIFT MART TRUCK PLAZA,Petersburg,VA,180,3.199,37.1975269,-77.466437,37.2279279,-77.40192669999999
760,5990,US-360,360 TRUCK STOP,Amelia Court House,VA,180,3.599,37.3581085,-77.8743228,37.3426037,-77.9805478
761,5996,"I-80/US-30, EXIT 99 & US-191/SR-373",Fast Stop Travel Centers #1134,Rock Springs,WY,827,3.499,41.5555871,-109.3103244,41.58746439999999,-109.2029043
762,5999,"I-30, EXIT 78 & SR-7",PILOT TRAVEL STOP #492,Arkadelphia,AR,635,3.529,34.120994,-93.053544,34.120994,-93.053544
763,6001,US-70 & US-285,ALLSUPS #2392,Roswell,NM,700,3.199,33.3942655,-104.5230242,33.3942655,-104.5230242
764,6009,US-65 & US-36,CASEYS #2652,Chillicothe,MO,400,3.289,39.8167734,-93.55302329999999,39.7952946,-93.5524358
765,6010,"I-10, EXIT 465",SEGOVIA TRUCK STOP,Junction,TX,739,2.999,30.4176814,-99.6723122,30.4893555,-99.7720109
766,6018,"I-55, I-74 & I-39 , EXIT 160",TA BLOOMINGTON TRAVEL CENTER,Bloomington,IL,280,3.571,40.4885222,-89.0261495,40.4842027,-88.99368729999999
767,6033,US-54,EMERY'S,Deerfield,MO,277,3.349,37.8403572,-94.5015093,37.8386508,-94.50606549999999
768,6037,"I-129/US-20/US-75,  EXIT 2",CRYSTAL OIL,South Sioux City,NE,527,3.549,42.4447178,-96.4143402,42.4648558,-96.4130601
769,6041,"I-77, EXIT 14 & US-58/US-221",COCKERHAM FUEL CENTER #4,Hillsville,VA,185,3.28233333,36.7444127,-80.774504,36.7626282,-80.7347947
770,6047,US-61,FAST LANE #26,Eolia,MO,494,3.099,39.2326623,-91.0175189,39.2358794,-91.00819179999999
771,6051,"I-25, EXIT 240",CIRCLE K #2709846,Longmont,CO,800,3.05733333,40.1672068,-105.1019275,40.1672068,-105.1019275
772,6057,"I-70/US-40, EXIT 252",PILOT TRAVEL CENTER #903,Salina,KS,523,3.769,38.8402805,-97.61142369999999,38.8402805,-97.61142369999999
773,6058,I-75 EXIT 110,MOTOR INN AUTO TRUCK STOP,Mendon,OH,370,3.199,40.673381,-84.5188438,40.673381,-84.5188438
774,6068,US-61 & CR MM,AYERCO #24,Hannibal,MO,494,3.099,39.7083789,-91.35848159999999,39.7083789,-91.35848159999999
775,6082,US-27/SR-25 & SR-826,Palmetto Truck Plaza,Hialeah,FL,95,3.399,25.8569601,-80.3239857,25.8575963,-80.2781057
776,6083,"I-35, EXIT 33",BP,Holt                                    ,MO,400,3.049,39.4597652,-94.3233765,39.4527802,-94.3421687
777,6087,US-54 & CR-HH,BREAK TIME #3173,Fulton,MO,310,3.299,38.847123,-91.95378509999999,38.84670819999999,-91.94795859999999
778,6093,"I-80 & US-183, EXIT 257",ONE9 #901,Elm Creek,NE,330,2.96566666,40.6921057,-99.38152,40.7182233,-99.37326159999999
779,6096,US-23,Waverly Travel Center,Waverly                                 ,OH,315,3.41566666,39.150711,-82.97708899999999,39.1267349,-82.9854553
780,6097,"I-80, EXIT 263",SAPP BROS TRAVEL CENTER,Elm Creek,NE,330,3.18733333,40.6786932,-99.2564203,40.7182233,-99.37326159999999
781,6106,"I-84, EXIT 353",TA HUNTINGTON,Huntington,OR,982,3.639,44.29320430000001,-117.2243028,44.3512726,-117.2665686
782,6111,US-167/SR-25,HAWGS EXXON,Batesville                              ,AR,418,3.359,35.7875739,-91.64045569999999,35.7696862,-91.6409431
783,6150,"I-81,  EXIT 150",CIRCLE K #2723707,Troutville,VA,65,3.06566666,37.386532,-79.903418,37.4181897,-79.87476269999999
784,6154,"I-10,  EXIT 4",TA MOBILE TRAVEL CENTER,Grand Bay,AL,715,3.13566666,30.4763084,-88.3422303,30.4763084,-88.3422303
785,6164,"I-80/US-6, EXIT 284",PILOT TRAVEL CENTER #268,Walcott,IA,270,3.87233333,41.6143544,-90.7821647,41.585543,-90.7743819
786,6165,I-70 & GRAIN VALLEY RD EXIT 24,TEMP STOP #117,Grain Valley,MO,400,2.959,39.02007529999999,-94.1968756,39.0150069,-94.19855799999999
787,6167,US-71,PILOT TRAVEL CENTERS #167,Nevada,MO,277,3.49566666,37.835265,-94.32478499999999,37.83920519999999,-94.3546719
788,6172,"I-96, EXIT 77",SPEEDWAY #2319,Portland,MI,431,3.6239999999999997,42.8616441,-84.8867365,42.8672048,-84.9100792
789,6173,"I-94, EXIT 167",PILOT TRAVEL CENTERS #21,Dexter,MI,325,3.6215,42.2961345,-83.87896820000002,42.33836970000001,-83.8885552
790,6175,US-322/US-22 & SR-35,ONVO TRAVEL PLAZA - MIFFLINTOWN,Mifflintown,PA,138,3.479,40.5787026,-77.37525269999999,40.5661982,-77.39273039999999
791,6179,"I-10, EXIT 115 & SR-347",HENDERSON TRAVEL PLAZA,Breaux Bridge                           ,LA,690,3.38566666,30.313953,-91.83228299999999,30.2735323,-91.8992837
792,6180,"I-24, EXIT 180B & US-27",Circle #4703923,Chattanooga,TN,285,2.78566666,35.0457984,-85.3093995,35.0457984,-85.3093995
793,6182,"I-20, EXIT 205 & SR-46",Exxon,Heflin,AL,587,3.01566666,33.6461434,-85.5060245,33.6444926,-85.5842385
794,6188,US-65 & SR-J,SIGNAL FOOD STORE #112,Ozark,MO,535,2.999,37.0208865,-93.2060163,37.0208865,-93.2060163
795,6198,"I-95/US-301, EXIT 33 & SR-602",DAVIS TRAVEL CENTER #102,Stony Creek,VA,180,3.06566666,36.9776742,-77.3954972,36.94792770000001,-77.4008113
796,6200,"I-80, EXIT 29 & SR-8",KWIK FILL #388,Harrisville,PA,165,3.404,41.1972757,-79.9760515,41.1367274,-80.0092239
797,6206,"I-90 & I-94, EXIT 108-A",PETRO PORTAGE,Portage,WI,420,3.80733333,43.4876079,-89.4979857,43.5391486,-89.46262019999999
798,6212,"I-55, EXIT 180",MR FUEL,Pevely,MO,540,3.01566666,38.285775,-90.4047504,38.2835468,-90.3906719
799,6214,"I-41, EXIT 60 & SR-145",PIONEER Travel Plaza,Richfield,WI,444,3.21566666,43.2820005,-88.19738369999999,43.2562201,-88.1943651
800,6215,"I-87, EXIT 21B",FUEL HUB,West Coxsackie,NY,12,3.599,42.3509179,-73.8029028,42.3509179,-73.8029028
801,6218,"I-40, EXIT 16 & US-40 BUS/US-66",LOVES TRAVEL STOP #215,Gallup,NM,580,3.43733333,35.5056165,-108.8341733,35.5280783,-108.7425843
802,6219,US-2 /US-52,SCHATZ CROSSROADS,Minot,ND,452,3.549,48.210758,-101.267862,48.2329668,-101.2922906
803,6221,I-10 EXIT 37,LOVES TRAVEL STOP #214,El Paso,TX,640,3.07566666,31.65981979999999,-106.2374342,31.7618778,-106.4850217
804,6222,"I-29/US-71, EXIT 18 & SR-92",QUIKTRIP #236,Platte City,MO,400,2.999,39.3702773,-94.78246089999999,39.3702773,-94.78246089999999
805,6227,"I-20, EXIT 479",MARLOWS FUEL CENTER,Dallas                                  ,TX,630,3.24066666,32.6845651,-96.6216662,32.7766642,-96.79698789999999
806,6229,"I-70, EXIT 66 & SR- 54",FUEL MART #764,South Vienna                            ,OH,315,3.129,39.9357091,-83.6112613,39.9270045,-83.6124236
807,6232,"I-44 & SR-133, MM 145",OASIS TRUCK STOP,Richland,MO,416,3.324,37.7708882,-92.4063963,37.8569838,-92.4043396
808,6242,"I-70, EXIT 203",TA FORISTELL TRAVEL CENTER,Foristell,MO,540,3.019,38.816254,-90.9506679,38.8150501,-90.955972
809,6243,US-60/US-63,GARDEN INN TRAVEL PLAZA,Cabool,MO,535,3.299,37.0998065,-92.0652594,37.12394099999999,-92.1012678
810,6251,"I-10 & SR-347, EXIT 115",BREAUX BRIDGE VALERO #1408,Breaux Bridge,LA,730,3.499,30.2735323,-91.8992837,30.2735323,-91.8992837
811,6252,I-80 & I-90 EXIT 71,PILOT TRAVEL CENTERS #12,Perrysburg,OH,550,3.759,41.52279,-83.461466,41.556996,-83.627157
812,6258,"I-29, EXIT 144 & US-169",CASEYS #6342,Saint Joseph,MO,400,3.169,39.791096,-94.79746999999999,39.7674578,-94.84668099999999
813,6271,"I-35, EXIT 471 & US-77",TA DENTON TRAVEL CENTER,Denton,TX,630,3.254,33.2622133,-97.1766167,33.2148412,-97.13306829999999
814,6275,"I-90, EXIT 34",TA SEATTLE EAST TRAVEL CENTER,North Bend,WA,962,3.905666666666667,47.467056,-121.71751,47.4956579,-121.7867775
815,6284,I-90/80-IN TOLL RD MM 22W,7-ELEVEN #40513,Portage,IN,365,3.999,41.5758707,-87.1761455,41.5758707,-87.1761455
816,6286,"I-64, EXIT 94",APPLE MARKET #526,Winchester,KY,410,2.91566666,38.0124661,-84.20914640000001,37.990079,-84.17965029999999
817,6290,"US-6/US-24/SR/CR-3, EXIT 41",FUEL KING NAPOLEON TRAVEL CENTER,Napoleon,OH,550,3.439,41.41452899999999,-84.09688729999999,41.3922726,-84.1252243
818,6293,"I-40, EXIT 79",PETRO STOPPING CENTER #313,Milan,NM,580,3.57066666,35.1810189,-107.9038818,35.1697592,-107.890892
819,6296,US-71/US-136,GRAY TRUCK STOP,Maryville,MO,400,3.26566666,40.3894562,-94.8779733,40.3461017,-94.8724706
820,6299,"US-34, EXIT 258",HWY 34 TRUCKSTOP,West Burlington                         ,IA,345,3.374,40.826635,-91.2239472,40.8250386,-91.15653569999999
821,6305,"I-95, EXIT 126 & US-17/US-1",I-95 Fuel Stop,Fredericksburg,VA,180,3.264,38.2341734,-77.5021886,38.3031837,-77.4605399
822,6307,"I-70, MID RIVERS MALL",QUIKTRIP #608,Saint Peters,MO,540,2.904,38.7874699,-90.6298922,38.7874699,-90.6298922
823,6308,"I-64, EXIT 28",Pilot Travel Centers #354,Simpsonville,KY,415,3.759,38.2101963,-85.34813679999999,38.22257,-85.3552349
824,6309,"I-30 & US-270, EXIT 98A",WINNERS CIRCLE #1,Malvern,AR,695,3.35233333,34.3565109,-92.8075137,34.3624245,-92.8123856
825,6310,US-27/SR-25 & US-98/US-700/SR-700/SR-66,CIRCLE K #2707515,Sebring,FL,140,3.389,27.495592,-81.440907,27.495592,-81.440907
826,6315,US-24,AYERCO #25,Taylor,MO,494,3.01566666,39.9381011,-91.52376629999999,39.9381011,-91.52376629999999
827,6318,"I-35, EXIT 72 & US-19",Chisholm Corner #15,Pauls Valley                            ,OK,569,3.38733333,34.7399669,-97.2661334,34.7400809,-97.22224510000001
